name,region,location_detail,tags,phone,email,website,logo_url,description,source
"Young Farmers Connect (Northern Rivers)","other","Northern Rivers (regional chapter)","regenerative-ag,education,food-systems",,"hello@youngfarmersconnect.com","https://www.youngfarmersconnect.com",,"Not-for-profit uniting new, young and aspiring farmers. Northern Rivers is YFC's founding chapter, hosting bi-monthly field days, farm walks and socials focused on small-scale regenerative ecological farming.","org website + Facebook group 2026-04-22 (email inferred from domain pattern - verify)"
"The Grass Roots Mentoring Group","lismore","Wider Lismore area (member properties)","regenerative-ag,landcare,education",,,"https://landcare.nsw.gov.au/groups/border-ranges-richmond-valley-landcare-network-incorporated/from-the-grass-roots-mentoring-regeneration-projects-in-the-northern-rivers/",,"Formed 2018, grown to 80+ members focused on biodiversity and native habitat regeneration on private land. Meets on members' properties for peer mentoring, hands-on work, and information sharing.","NSW Landcare Gateway 2026-04-22 (no direct contacts published - reach via Border Ranges Richmond Valley Landcare Network)"
"Bangalow Land and Rivercare","bangalow","Bangalow, Byron LGA","landcare,environment",,"info@bangalowlandcare.org.au","https://bangalowlandcare.org.au",,"Formed 1998 to improve water quality in Byron Creek through native revegetation. Weekly working bees Saturdays 8.30-10.30am across varying sites in the Bangalow area.","org website 2026-04-22 (email inferred from domain pattern - verify)"
"Wilsons Creek / Huonbrook Landcare Group","other","Wilsons Creek, Huonbrook & Wanganui valleys, Byron LGA","landcare",,,"https://landcare.nsw.gov.au/groups/wilsons-creek-huonbrook-landcare-group/",,"Landholder-led group restoring riparian zones and revegetating the Wilsons Creek, Huonbrook and Wanganui valleys in the Byron Bay hinterland. Relies on volunteers for work days, community projects and fundraising.","NSW Landcare Gateway 2026-04-22 (no direct contacts published)"
"Friends of the Koala","lismore","23 Rifle Range Rd East, Lismore","wildlife,habitat,nursery","(02) 6621 4664","admin@friendsofthekoala.org","https://friendsofthekoala.org",,"Koala hospital, care centre and Burribi Community Education Centre in Lismore. Runs a native-plant nursery supplying koala-habitat species and delivers community engagement & advocacy. 24-hour rescue hotline: 6622 1233.","org website 2026-04-22 (admin email inferred from domain pattern - verify)"
"Bangalow Koalas","bangalow","Bangalow (operates across 7 Northern Rivers LGAs)","habitat,regenerative-ag,wildlife","0411 491 991","president@bangalowkoalas.com.au","https://www.bangalowkoalas.com.au",,"Grass-roots not-for-profit that has planted 500,000+ trees across seven Northern Rivers shires since 2019, aiming for 850,000 by 2030. Works with councils, Landcare groups, landholders and communities to rebuild koala habitat corridors.","org website 2026-04-22"
"Jagun Alliance Aboriginal Corporation","other","Bundjalung Country, Northern Rivers (regional)","first-nations,landcare,resilience,food-sovereignty",,"info@jagunalliance.org.au","https://www.jagunalliance.org.au",,"Aboriginal-led organisation specialising in natural resource management and resilience for Country on Bundjalung land. Runs cultural landscape restoration, nature-based flood mitigation, cultural burning, water-quality monitoring and knowledge-sharing programs.","org website 2026-04-22 (email inferred from domain pattern; recommend direct outreach before publishing)"
"Fletcher Street Cottage","byron_bay","Fletcher St, Byron Bay","food-relief,community-support",,"info@byroncentre.com.au","https://www.byroncentre.com.au/fsc",,"Homelessness service hub opened April 2022 by Byron Community Centre and Creative Capital. Provides breakfasts, showers, laundry and partner services (housing, medical, counselling, legal, vet, podiatry) Tue-Fri.","Byron Community Centre website 2026-04-22"
"Kyogle Family Support Services Neighbourhood Centre","kyogle","Kyogle","neighbourhood-centre,food-relief",,"admin@kfss.org.au","https://www.facebook.com/KyogleFSS/",,"Community hub for Kyogle LGA with outreach to Bonalbo, Urbenville, Woodenbong and surrounding Aboriginal communities. Provides family support, emergency relief, and food assistance.","info-qore directory + NDIS registration 2026-04-22 (email inferred - verify)"
"Lismore Environment Centre","lismore","Lismore","environment,education",,,"https://www.facebook.com/lisenvirocentre/",,"Non-profit eco shop, info/referral/research centre. Runs volunteer training and bush regeneration programs, and promotes environmental awareness across the Lismore region.","Facebook page + Lismore community directory 2026-04-22 (contacts unverified - Facebook only)"
"Tweed Heads Community Markets","tweed","Tweed Heads (various market dates)","farmers-market,food-systems","0459 911 048","thcms.tweedmarkets@gmail.com",,,"Community-run markets in the Tweed Heads area. Outlet for regional producers, makers and food stalls.","NSW Health Promotion directory + Big Volcano markets listings 2026-04-22"
